Type,Price,Bedrooms,Bathrooms,Area,Furnished,Compound,Payment_Option,Delivery_Date,Delivery_Term,City,Description,Security,Balcony,Private_Garden,Pets_Allowed,Covered_Parking,Maids_Room,Electricity_Meter,Natural_Gas,Landline,Pool,Central_heating,Built_in_Kitchen_Appliances,Elevator
Town House,6839000.0,4,5,320,Yes,Cleopatra Square,Installment,Ready to move,Finished,6th of October,فيلا متشطب علي السكن بالتقسيط كليوباترا سكوير علي المحور المركزي مباشر,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,21000000.0,5,5,391,Unknown,Mivida,Cash,Ready to move,Unknown,New Cairo - El Tagamoa,100% privacy | villa for sale in Mivida | amazing location | 390m,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,6750000.0,3,3,250,No,Hyde Park New Cairo,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,تاون هاوس كورنر بكمبوند هايد بارك 250 متر,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,15000000.0,4,4,"1,000",No,Palm Hills Katameya,Cash,Ready to move,Finished,New Cairo - El Tagamoa,فيلا توين هاوس متشطب بالكامل للبيع بكمبوند بالم هيلز قطامية التجمع PK1,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,5000000.0,4,3,183,No,Badya Palm Hills,Cash or Installment,2026,Not Finished,6th of October,تاون هاوس في بالم هيلز باديا Palm Hills Badya تقسيط 10 سنين,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,7651000.0,4,4,300,No,Al Burouj,Cash or Installment,2024,Finished,Shorouk City,للبيع تاون هاوس 300م تشطيب كامل (تقسيط 12 سنة) فى البروج -  Al Burouj,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,6300000.0,4,4,256,Unknown,Lake West,Installment,2024,Not Finished,Sheikh Zayed,تاون هاوس كورنر للبيع في ليك ويست 1 -,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,5850000.0,4,5,364,Unknown,Unknown,Cash or Installment,Unknown,Unknown,Sheikh Zayed,احجز فيلا مستقلة 364م واستلم خلال سنة ونصف فى الشيخ زايد وصلة دهشور,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,1000000.0,5,4,330,Unknown,Unknown,Cash or Installment,Unknown,Unknown,New Cairo - El Tagamoa,فيلا 330م بجاردن ورووف كمبوند هايد بارك التجمع الخامس بالتقسيط,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable
Stand Alone Villa,8500000.0,4,4,405,No,VGK,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,فيلا مميزة للبيع بكمبوند فيلدج جاردن قطامية بالم هيلز استلام فوري VGK,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,22000000.0,4,5,460,No,Madinaty,Cash,Ready to move,Finished,Madinaty,فيلا للبيع في مدينتي 1005 متر نموذج D,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,5000000.0,4,4,307,No,Etapa,Cash or Installment,soon,Semi Finished,Sheikh Zayed,Town house corner for sale at etapa - el shiekh zayed,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Avilable,Not Avilable
Town House,8033382.0,3,4,258,Unknown,District 5 Compound,Cash or Installment,2024,Unknown,New Cairo - El Tagamoa,تاون هاوس ميدل ريسيل بالتقسيط حتى2028 في ديستريكت5 District 5 compound,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,4000000.0,5,4,"4,000",No,Unknown,Cash,Ready to move,Finished,Sheikh Zayed,فيلا للبيع في الريف الأوروبي بجوار هايبر السليمانية مساحة فدان,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,30000000.0,6,6,800,No,Madinaty,Cash,Ready to move,Finished,Madinaty,مدينتى فيلا للبيع نموذج A بحمام سباحه,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,23000000.0,5,5,750,Yes,Rehab City,Cash,Ready to move,Finished,Rehab City,للبيع فيلا منفصله بحمام سباحه خاص تشطيب سوبر لوكس,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,12500000.0,4,4,550,No,Unknown,Cash,Ready to move,Finished,Rehab City,للتمليك بالرحاب فيلا نموذج C تشطيبات خاصه اول سكن بحمام سباحه,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,6200000.0,4,4,314,Unknown,Cleopatra Palace,Unknown,Ready to move,Finished,Shorouk City,اكبر مساحة فيلا 314م متشطبة واستلام فوري بأفضل سعر في كليوباترا الشروق,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,10100000.0,5,5,278,No,Tawny,Cash or Installment,2025,Not Finished,6th of October,#7 توين هاوس للبيع278م فيTAWNY في 6 اكتوبر بتسهيلات بجانب نادي الجزيره,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,5245000.0,4,3,392,No,Shorouk Gardens,Cash or Installment,Ready to move,Semi Finished,Shorouk City,تاون هاوس كورنر استلام فورى 392 م تقسيط علي 5 سنين,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Town House,2050000.0,3,3,220,No,Madinaty,Installment,Ready to move,Not Finished,Madinaty,فيلا لقطه للبيع بمدينتى 220متر تاون هاوس نموذج F3,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,20000000.0,4,3,476,Yes,Madinaty,Cash,Ready to move,Finished,Madinaty,فيلا منفصلة تشطيب خاص للبيع بمدينتي (بحمام سباحة),Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Twin House,2300000.0,4,5,357,No,Unknown,Cash or Installment,Unknown,Unknown,New Cairo - El Tagamoa,منزل للبيع 357 متر بالتجمع الاول امام الرحاب | Swan Lake Residences,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
Town House,5000000.0,3,3,220,No,Madinaty,Installment,Ready to move,Not Finished,Madinaty,فيلا للبيع في مدينتي تاون نموذج f3 بفيلات الفورسيزون فيو مجري السيل,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,2400000.0,3,2,230,Unknown,El Patio,Cash or Installment,Ready to move,Semi Finished,Sheikh Zayed,استلم بمقدم30% اخر تاون - باتيو الزهراء - نادي الاهلي,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,6500000.0,5,5,579,Unknown,Royal City,Unknown,Unknown,Unknown,Sheikh Zayed,فيلا للبيع في رويال سيتي الشيخ زايد,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,280000.0,4,4,378,No,Al Maqsad,Installment,Ready to move,Finished,New Capital City,بسعر اقل من المعتاد استلم أخر فيلا متشطبة عالبرج الايقوني ب4%ف المقصد,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,6700000.0,4,6,350,Unknown,Unknown,Cash or Installment,Unknown,Finished,Sheikh Zayed,فيلا للبيع بكمبوند رويال فالي 350م موقع مميز بالتقسيط7س,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,7200000.0,4,4,500,No,Madinaty,Installment,soon,Not Finished,Madinaty,للبيع فيلا Standalone بجوار الفورسيزون بأقساط ل 2027,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,8800000.0,3,4,258,Unknown,District 5 Compound,Cash or Installment,2025,Core & Shell,New Cairo - El Tagamoa,Town House in new cairo with 5% DP,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable
Town House,6500000.0,4,5,350,No,Layan,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,توين هاوس 350م لقطة اقل من سعرالسوق كمبوند ليان صبور LI1 sabbour,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
Twin House,4750000.0,3,3,256,Unknown,Unknown,Unknown,Unknown,Unknown,Sheikh Zayed,Twin house in the villa compound 7 years installments,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,5850000.0,7,8,640,No,Not in Compound,Installment,Ready to move,Semi Finished,Sheikh Zayed,فيلا توين هاوس للبيع في الحي التاسع مشروع شركة جاما جروب,Not Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,5200000.0,5,4,590,No,Unknown,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,فيلا مستقلة بكمبوند Palma Residence بالقرب من الجامعة الأمريكية وال90,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,6500000.0,10+,10+,580,Unknown,Unknown,Unknown,Unknown,Unknown,West Somid,للبيع فيلا مساحه 580 متر,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,500000.0,4,4,250,Unknown,Unknown,Unknown,Unknown,Unknown,Shorouk City,فيلا فى سوديك ايست بجوار مدينتى بالتقسيط على 8 سنوات,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,9600000.0,4,4,265,No,Mountain View Chillout Park,Cash,Ready to move,Finished,6th of October,فيلا مستقلة للبيع الترا  لوكس 4 غرف في كمبوند ماونتن فيو تشل اوت بارك,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable
Town House,5000000.0,3,3,300,Unknown,Unknown,Unknown,Unknown,Unknown,Sheikh Zayed,تاون هاوس بكمبوند lake west تقسيط6سنين,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,476000.0,5,3,196,Unknown,Unknown,Installment,Unknown,Unknown,6th of October,تاون هاوس 196 م ف او ويست  o west  اوراسكوم بالتقسيط 108 شهر,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,7100000.0,3,3,183,Unknown,Badya Palm Hills,Installment,2025,Unknown,6th of October,تاون هاوس بمساحة 183م|4 غرف |0% مقدم |قسط 10 سنوات -  Badya Palm Hills,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,27000000.0,5,4,675,Unknown,Uptown Cairo,Cash,Unknown,Finished,New Cairo - El Tagamoa,فيلا مستقلة للبيع في ألبا سبينديا اب تاون كايرو متشطبة بالكامل,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Avilable,Not Avilable
Stand Alone Villa,8100000.0,4,3,450,No,Rehab City,Cash,Ready to move,Finished,Rehab City,فيلا مستقلة  بمدينة الرحاب مجموعة ٧ - تشطيبات خاصه,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,6950000.0,5,4,500,Unknown,Al Nasayem,Cash,Ready to move,Finished,6th of October,فيلا مستقلة للبيع بكمبوند النسايم حمام سباحة خاص تشطيب الترا سوبر لوكس,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,11520000.0,5,5,321,No,EL Patio Casa,Cash or Installment,soon,Semi Finished,Shorouk City,فيلا مستقله للبيع فى الباتيو كازا استلام بمقدم 15% فقط,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,4310000.0,3,4,175,No,Unknown,Installment,2025,Not Finished,New Cairo - El Tagamoa,فيلا تاون هاوس 175م بمقدم 400 الف في المستقبل سيتي تقسيط 9 سنوات,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,19000000.0,6,6,900,Unknown,Not in Compound,Unknown,Unknown,Unknown,New Cairo - El Tagamoa,ڤيلا للبيع فى جنوب الاكاديميه | اميز موقع على اكبر لاندسكيب,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,15000000.0,4,4,220,No,Mountain View iCity,Cash or Installment,soon,Semi Finished,New Cairo - El Tagamoa,Twin house for sale prime location in mountain view i city,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,13000000.0,3,4,790,No,Al Rabwa,Cash,Ready to move,Semi Finished,Sheikh Zayed,للبيع كمبوند الربوة فيلا نص تشطيب,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,30000000.0,5,4,"1,030",Yes,Lake View,Cash,Ready to move,Finished,New Cairo - El Tagamoa,Lakeview new cairo فيلا للبيع في ليك فيو بالتجمع الخامس 1030 متر,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,26250000.0,4,5,580,Yes,Palm Hills Katameya,Cash,Ready to move,Finished,Katameya,للبيع فيلا ستاند الون بحمام سباحة في بالم هيلز التجمع,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,18000000.0,4,5,375,No,Unknown,Cash,Ready to move,Semi Finished,Sheikh Zayed,stand alone for sale in allegria compound,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,27500000.0,6,6,850,No,Madinaty,Cash,Ready to move,Finished,Madinaty,Standalone Villa B for Sale at Madinaty view Golf ( Luxury Life style),Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,18000000.0,10+,10+,670,No,Unknown,Cash,Ready to move,Finished,New Cairo - El Tagamoa,فيلا لقطة 670m متشطبه في النرجس 1 بحري الوجهتين,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,4000000.0,4,2,"3,500",Yes,Unknown,Cash,Unknown,Finished,6th of October,فيلا للبيع علي مساحة فدان في الريف الأوروبي بجوار هايبر السليمانية,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable
